day,driving_us,transit_us,walking_us,cases_us,driving_korea,walking_korea,cases_korea,driving_newzealand,transit_newzealand,walking_newzealand,cases_newzealand
2020-03-30,53.53,26.51,45.36,162707,56.24,41.88,9661,15.58,12.31,27.85,589
2020-03-31,53.98,25.47,45.06,188724,58.4,43.68,9786,16.47,11.39,27.22,647
2020-04-01,55.49,25.24,47.41,214205,59.07,42.13,9887,16.2,12.55,26.67,708
2020-04-02,55.64,24.67,47.1,244610,59.06,44.39,9976,16.41,10.43,25.54,797
2020-04-03,60.61,25.04,50.2,276547,71.97,50.92,10062,13.63,10.93,27.65,868
2020-04-04,52.22,22.42,45.77,309699,65.09,43.89,10156,12.7,10.21,28.27,950
2020-04-05,42.19,20.92,38.89,337573,58.14,43.4,10237,16.14,11.89,23.51,1039
2020-04-06,53.73,24.71,46.94,367215,60.28,40.23,10284,17.09,11.11,24.63,1106
2020-04-07,55.27,24.65,48.7,397992,59.74,41.09,10331,18.02,11.71,23.89,1160
2020-04-08,56.21,24.51,48.77,429686,59.07,41.29,10384,19.08,11.08,23.23,1210
2020-04-09,56.9,23.69,46.28,464442,58.76,44.61,10423,12.05,10.36,27.29,1239
2020-04-10,63.87,24.31,51.97,497943,69.49,51.64,10450,15.28,12.11,28.19,1283
2020-04-11,57.51,22.65,50.69,527969,60.85,42.6,10480,11.66,10.43,22.94,1312
2020-04-12,37.42,19.06,34.2,556522,57.41,41.57,10512,12.05,11.15,19.32,1330
2020-04-13,54.98,23.67,44.06,581813,59.57,42.92,10537,16.53,9.79,19.67,1349
2020-04-14,59.3,24.44,48.68,608878,68.22,54.34,10564,16.98,10.74,19.63,1366
